City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,roswell,34.0232,-84.3616,15.51,65,20,3.6,US,2023-02-05
80,port blair,11.6667,92.75,25.02,88,40,0.0,IN,2023-02-05
81,tura,25.5198,90.2201,13.26,53,2,1.37,IN,2023-02-05
82,roebourne,-20.7833,117.1333,32.63,48,3,0.78,AU,2023-02-05
83,lebu,-37.6167,-73.65,16.26,91,1,8.37,CL,2023-02-05
84,homer,59.6425,-151.5483,2.94,80,100,9.26,US,2023-02-05
85,ilinskiy,55.619,38.1182,-2.81,86,75,3.0,RU,2023-02-05
86,laguna,38.421,-121.4238,14.63,66,20,6.69,US,2023-02-05
87,ambon,-3.6954,128.1814,28.08,78,20,1.54,ID,2023-02-05
88,puerto palomas,31.7667,-107.6167,21.44,15,0,6.0,MX,2023-02-05
89,angouleme,45.65,0.15,4.53,74,0,3.09,FR,2023-02-05
90,chunoyar,57.4467,97.3217,-23.09,100,100,1.46,RU,2023-02-05
91,chapais,49.7834,-74.8492,-19.12,96,100,1.71,CA,2023-02-05
92,bethel,41.3712,-73.414,5.36,62,100,3.74,US,2023-02-05
93,muleba,-1.8397,31.6544,19.28,73,54,1.48,TZ,2023-02-05
94,puerto penasco,31.3167,-113.5333,16.62,82,2,1.79,MX,2023-02-05
95,kruisfontein,-34.0033,24.7314,23.27,89,72,3.36,ZA,2023-02-05
96,cabedelo,-6.9811,-34.8339,27.37,78,16,4.82,BR,2023-02-05
97,san patricio,28.017,-97.5169,25.86,78,0,4.65,US,2023-02-05
98,upernavik,72.7868,-56.1549,-25.08,96,100,3.5,GL,2023-02-05
99,ponta delgada,37.7333,-25.6667,15.4,82,20,5.14,PT,2023-02-05
100,isangel,-19.55,169.2667,30.89,63,99,1.67,VU,2023-02-05
101,torbay,47.6666,-52.7314,-3.57,76,75,9.26,CA,2023-02-05
102,road town,18.4167,-64.6167,26.05,73,40,5.66,VG,2023-02-05
103,general roca,-39.0333,-67.5833,34.73,9,26,7.32,AR,2023-02-05
104,saint george,37.1041,-113.5841,11.33,62,100,8.75,US,2023-02-05
105,marawi,7.9986,124.2928,22.59,77,78,0.74,PH,2023-02-05
106,boden,65.8252,21.6886,-6.0,89,53,2.18,SE,2023-02-05
107,brightwater,-41.3833,173.1167,24.27,78,55,3.17,NZ,2023-02-05
108,riyadh,24.6877,46.7219,16.08,55,4,4.69,SA,2023-02-05
109,borovskoy,53.8,64.15,-15.81,98,95,2.75,KZ,2023-02-05
110,itarema,-2.9248,-39.9167,25.85,82,76,4.72,BR,2023-02-05
111,airai,-8.9266,125.4092,19.18,78,96,1.2,TL,2023-02-05
112,mar del plata,-38.0023,-57.5575,28.01,47,0,4.63,AR,2023-02-05
113,butaritari,3.0707,172.7902,26.79,83,100,7.7,KI,2023-02-05
114,nouakchott,18.0858,-15.9785,19.96,36,82,5.69,MR,2023-02-05
115,angra dos reis,-23.0067,-44.3181,26.2,84,94,1.51,BR,2023-02-05
116,tasiilaq,65.6145,-37.6368,-4.91,96,100,2.79,GL,2023-02-05
117,rawson,-43.3002,-65.1023,17.43,69,17,9.98,AR,2023-02-05
118,warri,5.5167,5.75,26.51,85,100,2.67,NG,2023-02-05
119,tausa,5.199,-73.8913,7.53,80,29,1.67,CO,2023-02-05
120,roald,62.5833,6.1333,6.72,81,100,7.2,NO,2023-02-05
121,cherskiy,68.75,161.3,-40.74,100,100,2.03,RU,2023-02-05
122,pisco,-13.7,-76.2167,25.03,78,0,7.72,PE,2023-02-05
123,bowmore,34.9421,-79.3031,10.12,93,100,2.06,US,2023-02-05
124,hithadhoo,-0.6,73.0833,27.11,71,88,4.7,MV,2023-02-05
125,east london,-33.0153,27.9116,23.67,84,46,5.25,ZA,2023-02-05
126,suntar,62.1444,117.6319,-49.34,100,70,1.32,RU,2023-02-05
127,ihosy,-22.4,46.1167,18.66,96,100,2.76,MG,2023-02-05
128,cockburn town,21.4612,-71.1419,24.98,73,40,6.69,TC,2023-02-05
129,port-gentil,-0.7193,8.7815,26.96,79,93,5.1,GA,2023-02-05
130,batagay,67.6333,134.6333,-42.72,99,98,1.05,RU,2023-02-05
131,norman wells,65.282,-126.8329,-25.98,70,100,0.0,CA,2023-02-05
132,cabo san lucas,22.8909,-109.9124,27.17,31,0,4.63,MX,2023-02-05
133,mahebourg,-20.4081,57.7,26.16,89,75,2.57,MU,2023-02-05
134,fortuna,40.5982,-124.1573,10.37,93,75,4.63,US,2023-02-05
135,asfi,32.2994,-9.2372,11.93,74,0,3.16,MA,2023-02-05
136,changde,29.0464,111.6783,7.28,81,100,0.97,CN,2023-02-05
137,xining,36.6167,101.7667,-5.56,62,2,0.89,CN,2023-02-05
138,tutoia,-2.7619,-42.2744,25.05,90,78,3.84,BR,2023-02-05
139,codrington,-38.2667,141.9667,17.05,65,70,2.8,AU,2023-02-05
140,ostrovnoy,68.0531,39.5131,-10.85,92,97,6.89,RU,2023-02-05
141,severo-kurilsk,50.6789,156.125,-3.02,77,99,4.01,RU,2023-02-05
142,upington,-28.4478,21.2561,22.21,73,0,0.51,ZA,2023-02-05
143,salalah,17.0151,54.0924,22.05,73,0,1.54,OM,2023-02-05
144,faanui,-16.4833,-151.75,27.44,75,14,6.61,PF,2023-02-05
145,akdepe,42.0551,59.3788,-0.95,67,100,3.74,TM,2023-02-05
146,schkeuditz,51.4,12.2167,-2.2,76,0,1.03,DE,2023-02-05
147,georgetown,5.4112,100.3354,25.96,98,20,1.03,MY,2023-02-05
148,sur,22.5667,59.5289,21.28,70,24,2.57,OM,2023-02-05
149,mweka,-4.85,21.5667,19.14,98,41,1.17,CD,2023-02-05
150,dingle,10.9995,122.6711,25.19,87,48,3.96,PH,2023-02-05
151,thomasville,35.8826,-80.082,9.81,71,96,2.26,US,2023-02-05
152,puerto carreno,6.189,-67.4859,27.86,52,75,2.9,CO,2023-02-05
153,ulaangom,49.9811,92.0667,-20.65,99,100,0.45,MN,2023-02-05
154,kenora,49.8167,-94.4337,-11.46,72,20,2.57,CA,2023-02-05
155,nyurba,63.2842,118.3319,-48.08,100,69,1.76,RU,2023-02-05
156,lata,40.1629,-8.3327,7.82,76,0,1.92,PT,2023-02-05
157,slave lake,55.2834,-114.769,0.99,86,0,1.03,CA,2023-02-05
158,atuona,-9.8,-139.0333,25.91,76,42,8.24,PF,2023-02-05
159,arai,37.0167,138.25,2.74,81,15,2.34,JP,2023-02-05
160,padang,-0.9492,100.3543,23.03,79,99,1.61,ID,2023-02-05
161,kushiro,42.975,144.3747,-7.47,79,75,3.6,JP,2023-02-05
162,ugoofaaru,5.6667,73.0,26.66,76,90,1.25,MV,2023-02-05
163,teguise,29.0605,-13.564,12.12,72,0,2.06,ES,2023-02-05
164,belmonte,-15.8631,-38.8828,26.3,80,1,4.32,BR,2023-02-05
165,deputatskiy,69.3,139.9,-36.75,99,100,2.1,RU,2023-02-05
166,serov,59.6033,60.5787,-10.72,98,100,0.91,RU,2023-02-05
167,nicolas bravo,18.45,-88.9167,23.26,75,52,1.57,MX,2023-02-05
168,cartagena,10.3997,-75.5144,26.79,74,20,7.55,CO,2023-02-05
169,esperance,-33.8667,121.9,22.31,54,76,8.96,AU,2023-02-05
170,tucuma,-0.1833,-50.05,24.31,93,100,2.64,BR,2023-02-05
171,kisangani,0.5167,25.2,22.52,62,6,1.39,CD,2023-02-05
172,agadez,19.75,10.25,16.13,11,2,5.05,NE,2023-02-05
